💞曹家精选,#genre#
洪真英-活着,https://vd4.bdstatic.com/mda-pcjz4dhsrm2xj5pm/sc/cae_h264/1679362398055378730/mda-pcjz4dhsrm2xj5pm.mp4
洪真英-活着,https://vd4.bdstatic.com/mda-mjs3nbq8qkcbcpnv/720p/h264/1635302158468970895/mda-mjs3nbq8qkcbcpnv.mp4
陈松伶-缘分,https://vd4.bdstatic.com/mda-nbqdn09158i3v8t7/hd/cae_h264_delogo/1645782597749041565/mda-nbqdn09158i3v8t7.mp4?v_from_s=hkapp-haokan-hna&auth_key=1686719667-0-0-94a76e01cb06d9602829189a0702614d&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=4&logid=2667918267&vid=2635540046106044335&abtest=all.m3u8
陈松伶-爱念永留,https://vdse.bdstatic.com//c812adad0db174d55dbf5e8eb1cac9e2.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2023-08-21T10%3A58%3A53Z%2F-1%2Fhost%2Fa6d65cef46cdb828e601c9a51185bcda50c1b4dac81ebad7d8eeb8e5e29cac06
陈松伶-爱念永留,https://vdse.bdstatic.com//9ae293a03b9ba281d6f61cee4c1f1292.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2023-08-10T17%3A20%3A27Z%2F-1%2Fhost%2F6b0f52afedbc8c6f46c4f446212b048b9d705a23c3b2f98156913c20ea308071
何宝生-倾情,https://vdse.bdstatic.com//e414daf80cec1e1dd545639562364c94.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2023-10-21T06%3A29%3A21Z%2F-1%2Fhost%2F6c7417d03710ada6c3dffe6c1a700c470546f1db0e21713c6d13edad69381821
何宝生-倾情,https://vdse.bdstatic.com//b4a65789500393ef46f027f9341eb7d1.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2023-08-11T06%3A30%3A09Z%2F-1%2Fhost%2Fb25070df2650e7e6bf3c2de5d4e273b058a243c2a793479e41d4c326cad2fc21
何宝生-倾情,https://vdse.bdstatic.com//b4a65789500393ef46f027f9341eb7d1.mp4?authorization=bce-auth-v1%2F40f207e648424f47b2e3dfbb1014b1a5%2F2023-10-18T20%3A47%3A14Z%2F-1%2Fhost%2F5ada14ea7dde2ff37959642e04ab94d9344e72aa4fd3c0187966f7af5691752d
大湾区卫视,https://php.17186.eu.org/gdtv/web/nfws.m3u8
广东卫视,https://php.17186.eu.org/gdtv/web/lizhi.m3u8
广东珠江,https://php.17186.eu.org/gdtv/web/gdzj.m3u8
广东新闻,https://php.17186.eu.org/gdtv/web/xwpd.m3u8
广东经济科教,https://php.17186.eu.org/gdtv/web/jjkj.m3u8
广东综艺,https://php.17186.eu.org/gdtv/web/jilupian.m3u8
广东影视,https://php.17186.eu.org/gdtv/web/gdys.m3u8
广东国际,https://php.17186.eu.org/gdtv/web/gdgj.m3u8
广东体育,https://php.17186.eu.org/gdtv/web/gdty.m3u8
翡翠台,https://pull-f5-spe.ixigua.com/live/YesLiveTV-430e29fb-9581-4404-ac71-c1a44b5cac4c/index.m3u8?by=yeslivetv.com
经典剧集台,http://pull-l3-cny.douyincdn.com/live/stream-112175tvb8080221221240fiyt121398615.m3u8
经典功夫台,,http://pull-l3-cny.douyincdn.com/live/stream-112175tvb8080221221240fiyt12136593.m3u8
经典功夫台,https://cn-hbyc2-dx-live-01.bilivideo.com/live-bvc/545768/live_179302204_68184269.m3u8
CHC动作电影,http://live.cooltv.top/tv/aishang.php?id=chcdzdy
CHC动作电影,http://125.40.191.58:9901/tsfile/live/1002_1.m3u8#http://59.49.41.44/live.aishang.ctlcdn.com/00000110240324_1/playlist.m3u8?CONTENTID=00000110240324_1#http://117.148.179.157/PLTV/88888888/224/3221231580/index.m3u8#http://117.148.179.157/PLTV/88888888/224/3221232945/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226465/index.m3u8#http://117.148.179.138/PLTV/88888888/224/3221231580/index.m3u8#http://111.20.33.93/TVOD/88888893/224/3221226465/index.m3u8#http://59.49.41.41/live.aishang.ctlcdn.com/00000110240324_1/playlist.m3u8?CONTENTID=00000110240324_1
